SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,list/pref_1var_4_6occ/45,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/46,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/47,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/48,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/49,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/5,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/6,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/7,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/8,,SOLVED
ZipRewrite,list/pref_1var_4_6occ/9,,SOLVED
ZipRewrite,list/pref_1var_3_4occ/0,,FAILED
ZipRewrite,list/pref_1var_3_4occ/1,,FAILED
ZipRewrite,list/pref_1var_3_4occ/2,,FAILED
ZipRewrite,list/pref_1var_3_4occ/3,,FAILED
ZipRewrite,list/pref_1var_3_4occ/4,,FAILED
ZipRewrite,list/pref_1var_3_4occ/5,,FAILED
ZipRewrite,list/pref_1var_3_4occ/6,,FAILED
ZipRewrite,list/pref_1var_3_4occ/7,,FAILED
ZipRewrite,list/pref_1var_3_4occ/8,,FAILED
ZipRewrite,list/pref_1var_3_4occ/9,,FAILED
ZipRewrite,list/concat_assoc_1var_3occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/1,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/10,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/11,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/12,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/13,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/14,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/15,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/16,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/17,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/18,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/19,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/20,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/21,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/22,,FAILED
ZipRewrite,list/concat_assoc_1var_8occ/23,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/24,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/25,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/26,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/27,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/28,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/29,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/3,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/30,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/31,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/32,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/33,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/34,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/35,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/36,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/37,,FAILED
ZipRewrite,list/concat_assoc_1var_8occ/38,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/39,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/4,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/40,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/41,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/42,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/43,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/44,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/45,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/46,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/47,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/48,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/49,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/5,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/6,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/7,,FAILED
ZipRewrite,list/concat_assoc_1var_8occ/8,,SOLVED
ZipRewrite,list/concat_assoc_1var_8occ/9,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/0,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/1,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/10,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/11,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/12,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/13,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/14,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/15,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/16,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/17,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/18,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/19,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/2,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/20,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/21,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/22,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/23,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/24,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/25,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/26,,SOLVED
ZipRewrite,list/concat_assoc_1var_5occ/27,,SOLVED
